Threshold,Recall,Precision,F1-score,Accuracy
0.05,0.7275162648296977,0.27018192154633314,0.39403046947870246,0.7258533383345837
0.1,0.6039035591274398,0.35580608793686586,0.4477866061293984,0.817516879219805
0.15000000000000002,0.5445847684653655,0.43095093882495455,0.4811496196111581,0.8561046511627907
0.2,0.49827784156142363,0.4924357034795764,0.49533954727030627,0.8756095273818455
0.25,0.46039035591274396,0.5463215258855586,0.4996884735202492,0.887049887471868
0.3,0.43436662839647916,0.6063034188034188,0.5061315496098104,0.8961459114778695
0.35000000000000003,0.4182931496364332,0.6568509615384616,0.5111059153612345,0.9019598649662416
0.4,0.40260237275162647,0.6990033222591362,0.5109276347741623,0.905570142535634
0.45,0.3907386146192116,0.7436270939548434,0.5122930255895635,0.9088522130532634
0.5,0.37964026023727515,0.7967871485943775,0.514256091238984,0.9121342835708928
0.55,0.3685419058553387,0.8316062176165803,0.5107398568019093,0.9134939984996249
0.6000000000000001,0.3593570608495982,0.8646408839779005,0.5077047850770479,0.914619279819955
0.6500000000000001,0.34978951396861846,0.8908382066276803,0.5023358065402583,0.9150881470367592
0.7000000000000001,0.3413700727133563,0.9158110882956879,0.4973515472539727,0.9154632408102026
0.7500000000000001,0.3348641408342901,0.9449244060475162,0.49448996891777336,0.9161196549137285
0.8,0.32721010332950634,0.9585201793721974,0.48787446504992865,0.9158383345836459
0.8500000000000001,0.3199387676999617,0.9743589743589743,0.48170556035724577,0.9156507876969242
0.9000000000000001,0.3161117489475698,0.9892215568862276,0.4791183294663573,0.9157914478619655
